indexname,indexdef
aml_alerts_pkey,CREATE UNIQUE INDEX aml_alerts_pkey ON public.aml_alerts USING btree (id)
aml_config_pkey,CREATE UNIQUE INDEX aml_config_pkey ON public.aml_config USING btree (id)
anomaly_alerts_pkey,CREATE UNIQUE INDEX anomaly_alerts_pkey ON public.anomaly_alerts USING btree (id)
api_keys_pkey,CREATE UNIQUE INDEX api_keys_pkey ON public.api_keys USING btree (id)
audit_log_pkey,CREATE UNIQUE INDEX audit_log_pkey ON public.audit_log USING btree (id)
audit_log_sequence_number_key,CREATE UNIQUE INDEX audit_log_sequence_number_key ON public.audit_log USING btree (sequence_number)
auth_audit_log_pkey,CREATE UNIQUE INDEX auth_audit_log_pkey ON public.auth_audit_log USING btree (id)
blacklisted_wallets_pkey,CREATE UNIQUE INDEX blacklisted_wallets_pkey ON public.blacklisted_wallets USING btree (id)
company_profiles_pkey,CREATE UNIQUE INDEX company_profiles_pkey ON public.company_profiles USING btree (id)
compliance_snapshots_compliance_id_key,CREATE UNIQUE INDEX compliance_snapshots_compliance_id_key ON public.compliance_snapshots USING btree (compliance_id)
compliance_snapshots_pkey,CREATE UNIQUE INDEX compliance_snapshots_pkey ON public.compliance_snapshots USING btree (id)
compliance_snapshots_transaction_id_key,CREATE UNIQUE INDEX compliance_snapshots_transaction_id_key ON public.compliance_snapshots USING btree (transaction_id)
consent_records_pkey,CREATE UNIQUE INDEX consent_records_pkey ON public.consent_records USING btree (id)
email_verification_tokens_pkey,CREATE UNIQUE INDEX email_verification_tokens_pkey ON public.email_verification_tokens USING btree (id)
idx_audit_event_type,CREATE INDEX idx_audit_event_type ON public.auth_audit_log USING btree (event_type)
idx_audit_log_created,CREATE INDEX idx_audit_log_created ON public.audit_log USING btree (created_at)
idx_audit_log_entity,"CREATE INDEX idx_audit_log_entity ON public.audit_log USING btree (entity_type, entity_id)"
idx_audit_log_seq,CREATE INDEX idx_audit_log_seq ON public.audit_log USING btree (sequence_number)
idx_audit_user_id,CREATE INDEX idx_audit_user_id ON public.auth_audit_log USING btree (user_id)
idx_consents_user_doc_accepted,"CREATE INDEX idx_consents_user_doc_accepted ON public.consent_records USING btree (user_id, document_type, accepted_at)"
idx_sessions_session_id,CREATE INDEX idx_sessions_session_id ON public.user_sessions USING btree (session_id)
idx_sessions_user_id,CREATE INDEX idx_sessions_user_id ON public.user_sessions USING btree (user_id)
invoice_counters_pkey,CREATE UNIQUE INDEX invoice_counters_pkey ON public.invoice_counters USING btree (year)
invoices_pkey,CREATE UNIQUE INDEX invoices_pkey ON public.invoices USING btree (id)
ix_aml_alerts_created_at,CREATE INDEX ix_aml_alerts_created_at ON public.aml_alerts USING btree (created_at)
ix_aml_alerts_sender,CREATE INDEX ix_aml_alerts_sender ON public.aml_alerts USING btree (sender)
ix_aml_alerts_sender_ts,"CREATE INDEX ix_aml_alerts_sender_ts ON public.aml_alerts USING btree (sender, created_at)"
ix_aml_alerts_status,CREATE INDEX ix_aml_alerts_status ON public.aml_alerts USING btree (status)
ix_api_keys_env,CREATE INDEX ix_api_keys_env ON public.api_keys USING btree (environment)
ix_api_keys_key_hash,CREATE UNIQUE INDEX ix_api_keys_key_hash ON public.api_keys USING btree (key_hash)
ix_api_keys_owner_active,"CREATE INDEX ix_api_keys_owner_active ON public.api_keys USING btree (owner_address, is_active)"
ix_api_keys_owner_address,CREATE INDEX ix_api_keys_owner_address ON public.api_keys USING btree (owner_address)
ix_blacklisted_wallets_address,CREATE UNIQUE INDEX ix_blacklisted_wallets_address ON public.blacklisted_wallets USING btree (address)
ix_company_profiles_org_id,CREATE UNIQUE INDEX ix_company_profiles_org_id ON public.company_profiles USING btree (org_id)
ix_consent_records_user_id,CREATE INDEX ix_consent_records_user_id ON public.consent_records USING btree (user_id)
ix_delivery_status_retry,"CREATE INDEX ix_delivery_status_retry ON public.webhook_deliveries USING btree (status, next_retry_at)"
ix_intent_merchant_status,"CREATE INDEX ix_intent_merchant_status ON public.payment_intents USING btree (merchant_id, status)"
ix_intent_status_expires,"CREATE INDEX ix_intent_status_expires ON public.payment_intents USING btree (status, expires_at)"
ix_invoices_invoice_number,CREATE UNIQUE INDEX ix_invoices_invoice_number ON public.invoices USING btree (invoice_number)
ix_invoices_owner_address,CREATE INDEX ix_invoices_owner_address ON public.invoices USING btree (owner_address)
ix_invoices_owner_created,"CREATE INDEX ix_invoices_owner_created ON public.invoices USING btree (owner_address, created_at)"
ix_known_devices_user_id,CREATE INDEX ix_known_devices_user_id ON public.known_devices USING btree (user_id)
ix_memberships_org_id,CREATE INDEX ix_memberships_org_id ON public.memberships USING btree (org_id)
ix_memberships_user_id,CREATE INDEX ix_memberships_user_id ON public.memberships USING btree (user_id)
ix_merchant_profiles_owner_address,CREATE UNIQUE INDEX ix_merchant_profiles_owner_address ON public.merchant_profiles USING btree (owner_address)
ix_merchant_webhooks_merchant_id,CREATE INDEX ix_merchant_webhooks_merchant_id ON public.merchant_webhooks USING btree (merchant_id)
ix_org_invites_email,CREATE INDEX ix_org_invites_email ON public.org_invites USING btree (email)
ix_org_invites_org_id,CREATE INDEX ix_org_invites_org_id ON public.org_invites USING btree (org_id)
ix_org_invites_token_hash,CREATE UNIQUE INDEX ix_org_invites_token_hash ON public.org_invites USING btree (token_hash)
ix_organizations_owner_user_id,CREATE INDEX ix_organizations_owner_user_id ON public.organizations USING btree (owner_user_id)
ix_organizations_slug,CREATE UNIQUE INDEX ix_organizations_slug ON public.organizations USING btree (slug)
ix_payment_intents_intent_id,CREATE UNIQUE INDEX ix_payment_intents_intent_id ON public.payment_intents USING btree (intent_id)
ix_payment_intents_matched_tx_hash,CREATE INDEX ix_payment_intents_matched_tx_hash ON public.payment_intents USING btree (matched_tx_hash)
ix_payment_intents_merchant_id,CREATE INDEX ix_payment_intents_merchant_id ON public.payment_intents USING btree (merchant_id)
ix_payment_intents_onchain_invoice_id,CREATE INDEX ix_payment_intents_onchain_invoice_id ON public.payment_intents USING btree (onchain_invoice_id)
ix_payment_intents_reference_id,CREATE UNIQUE INDEX ix_payment_intents_reference_id ON public.payment_intents USING btree (reference_id)
