table_name,column_name,data_type,is_nullable,column_default
aml_alerts,id,integer,NO,nextval('aml_alerts_id_seq'::regclass)
aml_alerts,created_at,timestamp with time zone,NO,
aml_alerts,tx_hash,character varying,YES,
aml_alerts,sender,character varying,NO,
aml_alerts,recipient,character varying,NO,
aml_alerts,chain_id,integer,YES,
aml_alerts,amount_eur,double precision,YES,
aml_alerts,token_symbol,character varying,YES,
aml_alerts,alert_type,USER-DEFINED,NO,
aml_alerts,risk_level,USER-DEFINED,NO,
aml_alerts,details,text,YES,
aml_alerts,status,USER-DEFINED,NO,
aml_alerts,reviewed_by,character varying,YES,
aml_alerts,reviewed_at,timestamp with time zone,YES,
aml_alerts,review_notes,text,YES,
aml_alerts,requires_kyc,boolean,NO,
aml_alerts,sar_filed,boolean,NO,
aml_config,id,integer,NO,
aml_config,threshold_single_eur,double precision,NO,
aml_config,threshold_daily_eur,double precision,NO,
aml_config,threshold_monthly_eur,double precision,NO,
aml_config,velocity_limit_per_hour,integer,NO,
aml_config,structuring_window_hours,integer,NO,
aml_config,structuring_min_count,integer,NO,
aml_config,structuring_threshold_pct,double precision,NO,
aml_config,updated_at,timestamp with time zone,NO,
anomaly_alerts,id,integer,NO,nextval('anomaly_alerts_id_seq'::regclass)
anomaly_alerts,anomaly_type,USER-DEFINED,NO,
anomaly_alerts,z_score,double precision,NO,
anomaly_alerts,description,text,NO,
anomaly_alerts,window_start,timestamp with time zone,NO,
anomaly_alerts,window_end,timestamp with time zone,NO,
anomaly_alerts,affected_tx_count,integer,YES,
anomaly_alerts,resolved,boolean,YES,
anomaly_alerts,created_at,timestamp with time zone,YES,
api_keys,id,integer,NO,nextval('api_keys_id_seq'::regclass)
api_keys,owner_address,character varying,NO,
api_keys,key_hash,character varying,NO,
api_keys,key_prefix,character varying,NO,
api_keys,display_prefix,character varying,YES,
api_keys,key_hash_v2,character varying,YES,
api_keys,hash_version,smallint,NO,
api_keys,label,character varying,NO,
api_keys,is_active,boolean,NO,
api_keys,scope,character varying,NO,
api_keys,environment,character varying,NO,
api_keys,rate_limit_rpm,integer,NO,
api_keys,total_requests,integer,NO,
api_keys,total_intents_created,integer,NO,
api_keys,total_volume_usd,character varying,YES,
api_keys,monthly_intent_limit,integer,NO,
api_keys,monthly_volume_limit_usd,character varying,YES,
api_keys,created_at,timestamp with time zone,NO,
api_keys,last_used_at,timestamp with time zone,YES,
api_keys,revoked_at,timestamp with time zone,YES,
audit_log,id,bigint,NO,nextval('audit_log_id_seq'::regclass)
audit_log,sequence_number,bigint,NO,
audit_log,event_type,character varying,NO,
audit_log,entity_type,character varying,NO,
audit_log,entity_id,character varying,NO,
audit_log,actor_type,character varying,YES,
audit_log,actor_id,character varying,YES,
audit_log,ip_address,inet,YES,
audit_log,user_agent,text,YES,
audit_log,changes,jsonb,YES,
audit_log,request_id,uuid,YES,
audit_log,chain_hash,character varying,NO,
audit_log,previous_hash,character varying,NO,
audit_log,created_at,timestamp with time zone,NO,
audit_log,hmac_signature,character varying,YES,
auth_audit_log,id,bigint,NO,nextval('auth_audit_log_id_seq'::regclass)
auth_audit_log,event_type,text,NO,
auth_audit_log,user_id,uuid,YES,
auth_audit_log,session_id,text,YES,
auth_audit_log,ip_address,inet,YES,
auth_audit_log,user_agent,text,YES,
auth_audit_log,google_sub,text,YES,
auth_audit_log,correlation_id,text,YES,
auth_audit_log,details,jsonb,NO,
auth_audit_log,created_at,timestamp with time zone,NO,
blacklisted_wallets,id,integer,NO,nextval('blacklisted_wallets_id_seq'::regclass)
blacklisted_wallets,address,character varying,NO,
blacklisted_wallets,reason,text,NO,
blacklisted_wallets,source,character varying,NO,
blacklisted_wallets,added_by,character varying,YES,
blacklisted_wallets,is_active,boolean,YES,
blacklisted_wallets,created_at,timestamp with time zone,YES,
company_profiles,id,uuid,NO,
company_profiles,org_id,uuid,NO,
company_profiles,legal_name,text,YES,
company_profiles,trading_name,text,YES,
company_profiles,country,character varying,YES,
company_profiles,registration_number,text,YES,
company_profiles,tax_or_vat_number,text,YES,
company_profiles,website,text,YES,
company_profiles,business_category,text,YES,
company_profiles,expected_monthly_volume,text,YES,
company_profiles,countries_served,jsonb,YES,
company_profiles,primary_stablecoin,text,YES,
company_profiles,no_sanctioned_countries,boolean,YES,
company_profiles,no_prohibited_activities,boolean,YES,
company_profiles,has_pep,boolean,YES,
company_profiles,submitted_at,timestamp with time zone,YES,
company_profiles,created_at,timestamp with time zone,NO,
company_profiles,updated_at,timestamp with time zone,NO,
compliance_snapshots,id,integer,NO,nextval('compliance_snapshots_id_seq'::regclass)
compliance_snapshots,transaction_id,integer,NO,
compliance_snapshots,compliance_id,character varying,NO,
compliance_snapshots,block_timestamp,character varying,YES,
compliance_snapshots,fiat_rate,double precision,YES,
compliance_snapshots,asset,character varying,YES,
compliance_snapshots,fiat_gross,double precision,YES,
compliance_snapshots,ip_jurisdiction,character varying,YES,
compliance_snapshots,mica_applicable,boolean,YES,
compliance_snapshots,network,character varying,YES,
compliance_snapshots,fiscal_ref,character varying,YES,
compliance_snapshots,created_at,timestamp with time zone,YES,
consent_records,id,uuid,NO,
consent_records,user_id,uuid,NO,
consent_records,document_type,text,NO,
consent_records,document_version,text,NO,
consent_records,accepted_at,timestamp with time zone,NO,
email_verification_tokens,id,uuid,NO,
email_verification_tokens,user_id,uuid,NO,
email_verification_tokens,token_hash,character varying,NO,
email_verification_tokens,email_at_issue,text,NO,
email_verification_tokens,created_at,timestamp with time zone,NO,
email_verification_tokens,expires_at,timestamp with time zone,NO,
email_verification_tokens,used_at,timestamp with time zone,YES,
email_verification_tokens,ip_at_issue,character varying,YES,
invoice_counters,year,integer,NO,nextval('invoice_counters_year_seq'::regclass)
invoice_counters,last_seq,integer,NO,
invoices,id,uuid,NO,
invoices,invoice_number,character varying,YES,
invoices,owner_address,character varying,NO,
invoices,period_start,timestamp with time zone,NO,
invoices,period_end,timestamp with time zone,NO,
invoices,tx_count,integer,NO,
invoices,unit_price_eur,numeric,NO,
invoices,subtotal_eur,numeric,NO,
invoices,tax_regime,character varying,YES,
invoices,tax_rate,numeric,YES,
invoices,tax_amount_eur,numeric,YES,
invoices,tax_note,text,YES,
invoices,total_eur,numeric,NO,
invoices,status,character varying,NO,
invoices,issued_at,timestamp with time zone,YES,
invoices,created_at,timestamp with time zone,NO,
invoices,snapshot_issuer,jsonb,YES,
invoices,snapshot_client,jsonb,YES,
known_devices,id,uuid,NO,
known_devices,user_id,uuid,NO,
known_devices,fingerprint,text,NO,
known_devices,user_agent_snippet,text,YES,
known_devices,ip_first_seen,text,YES,
known_devices,ip_last_seen,text,YES,
known_devices,first_seen_at,timestamp with time zone,NO,now()
known_devices,last_seen_at,timestamp with time zone,NO,now()
known_devices,login_count,integer,NO,
memberships,id,uuid,NO,
memberships,user_id,uuid,NO,
memberships,org_id,uuid,NO,
memberships,role,text,NO,
memberships,invited_by_user_id,uuid,YES,
memberships,joined_at,timestamp with time zone,NO,now()
memberships,updated_at,timestamp with time zone,NO,now()
merchant_profiles,id,uuid,NO,
merchant_profiles,owner_address,character varying,NO,
merchant_profiles,billing_legal_name,text,YES,
merchant_profiles,billing_vat_number,text,YES,
merchant_profiles,billing_tax_code,text,YES,
merchant_profiles,billing_address_line,text,YES,
merchant_profiles,billing_city,text,YES,
merchant_profiles,billing_postal_code,text,YES,
merchant_profiles,billing_country,text,YES,
merchant_profiles,billing_email,text,YES,
merchant_profiles,billing_pec,text,YES,
merchant_profiles,created_at,timestamp with time zone,NO,
merchant_profiles,updated_at,timestamp with time zone,NO,
merchant_profiles,metadata,jsonb,YES,
merchant_webhooks,id,integer,NO,nextval('merchant_webhooks_id_seq'::regclass)
merchant_webhooks,merchant_id,character varying,NO,
merchant_webhooks,environment,character varying,NO,'live'::character varying
merchant_webhooks,url,character varying,NO,
merchant_webhooks,secret,character varying,NO,
merchant_webhooks,events,json,NO,
merchant_webhooks,is_active,boolean,NO,
merchant_webhooks,created_at,timestamp with time zone,NO,
notification_preferences,user_id,uuid,NO,
notification_preferences,email_login_new_device,boolean,NO,
notification_preferences,telegram_tx_confirmed,boolean,NO,
notification_preferences,telegram_tx_failed,boolean,NO,
notification_preferences,telegram_price_alerts,boolean,NO,
notification_preferences,telegram_chat_id,text,YES,
notification_preferences,updated_at,timestamp with time zone,NO,now()
org_invites,id,uuid,NO,
org_invites,org_id,uuid,NO,
org_invites,email,text,NO,
org_invites,role,text,NO,
org_invites,token_hash,character varying,NO,
org_invites,invited_by_user_id,uuid,YES,
org_invites,status,text,NO,
org_invites,created_at,timestamp with time zone,NO,now()
org_invites,expires_at,timestamp with time zone,NO,
org_invites,accepted_at,timestamp with time zone,YES,
org_invites,declined_at,timestamp with time zone,YES,
org_invites,accepted_by_user_id,uuid,YES,
organizations,id,uuid,NO,
organizations,name,text,NO,
organizations,slug,text,NO,
organizations,owner_user_id,uuid,NO,
organizations,is_personal,boolean,NO,
organizations,plan,text,NO,
organizations,created_at,timestamp with time zone,NO,now()
organizations,updated_at,timestamp with time zone,NO,now()
organizations,deleted_at,timestamp with time zone,YES,
organizations,extra_metadata,jsonb,NO,
organizations,settlement_wallet,character varying,YES,
organizations,onboarding_status,text,NO,'company_submitted'::text
organizations,activation_status,text,NO,'not_started'::text
password_reset_tokens,id,uuid,NO,
password_reset_tokens,user_id,uuid,NO,
password_reset_tokens,token_hash,character varying,NO,
password_reset_tokens,created_at,timestamp with time zone,NO,
password_reset_tokens,expires_at,timestamp with time zone,NO,
password_reset_tokens,used_at,timestamp with time zone,YES,
password_reset_tokens,ip_at_issue,character varying,YES,
password_reset_tokens,ip_at_use,character varying,YES,
payment_intents,id,integer,NO,nextval('payment_intents_id_seq'::regclass)
payment_intents,intent_id,character varying,NO,
payment_intents,reference_id,character varying,NO,
payment_intents,merchant_id,character varying,NO,
payment_intents,environment,character varying,NO,'live'::character varying
